time,voltage
5.375,2.5232
5.4,2.4734
5.425,2.3928
5.45,2.3124
5.475,1.6488
5.5,0.5838
5.525,0.624
5.55,2.0116
5.575,2.3428
5.6,2.3528
5.625,2.4228
5.65,2.373
5.675,2.4232
5.7,2.433
5.725,2.3928
5.75,2.3928
5.775,2.7046
5.8,2.6742
5.825,2.7042
5.85,2.7144
5.875,2.634
5.9,2.7146
5.925,2.6844
5.95,2.7144
5.975,2.785
6,2.795
6.025,2.9754
6.05,2.9154
6.075,2.8852
6.1,2.875
6.125,2.7144
6.15,2.6742
6.175,2.0508
6.2,0.8252
6.225,0.7848
6.25,1.549
6.275,2.5536
6.3,2.5536
6.325,2.6238
6.35,2.6742
6.375,2.7448
6.4,2.6342
6.425,2.6546
6.45,2.6344
6.475,2.6742
6.5,2.634
6.525,2.664
6.55,2.6742
6.575,2.684
6.6,2.6742
6.625,2.7144
6.65,2.6742
6.675,2.7144
6.7,2.7544
6.725,2.7444
6.75,2.6946
6.775,2.4232
6.8,2.433
6.825,2.403
6.85,2.433
6.875,2.4026
6.9,2.433
6.925,2.403
6.95,2.433
6.975,2.433
7,2.4332
7.025,2.1012
7.05,2.0916
7.075,2.1016
7.1,2.0712
7.125,2.0814
7.15,2.0912
7.175,2.081
7.2,2.0712
7.225,2.1114
7.25,2.0912
7.275,2.0204
7.3,2.0314
7.325,2.1012
7.35,1.368
7.375,1.3574
7.4,1.3474
7.425,1.3476
7.45,1.3878
7.475,1.3574
7.5,1.3878
7.525,1.398
7.55,1.4082
7.575,1.3878
7.6,1.388
7.625,1.398
7.65,1.4078
7.675,1.3878
7.7,1.3878
7.725,1.3878
7.75,1.3672
7.775,2.1114
7.8,2.1514
7.825,2.1114
7.85,2.0712
7.875,2.1016
7.9,2.1114
7.925,2.0814
7.95,2.373
7.975,2.4026
8,2.4332
8.025,2.463
8.05,2.433
8.075,2.4232
8.1,2.4328
8.125,2.7144
8.15,2.6946
8.175,2.7448
8.2,2.6744
8.225,2.7144
8.25,2.6942
8.275,2.6742
8.3,2.7142
8.325,2.7846
8.35,2.7948
8.375,2.7144
8.4,2.7142
8.425,2.634
8.45,2.453
8.475,2.0508
8.5,0.7042
8.525,0.8652
8.55,2.4932
8.575,2.6742
8.6,2.6744
8.625,2.7546
8.65,2.8152
8.675,2.7948
8.7,2.8348
8.725,2.7948
8.75,2.8148
8.775,2.785
8.8,2.6342
8.825,2.6844
8.85,2.6742
8.875,2.6644
8.9,2.674
8.925,2.5434
8.95,2.4732
8.975,2.3928
9,2.2724
9.025,2.5536
9.05,2.654
9.075,2.634
9.1,2.6744
9.125,2.6742
9.15,2.654
9.175,2.6438
9.2,2.714
9.225,2.7042
9.25,2.6742
9.275,2.3526
9.3,2.3526
9.325,2.202
9.35,0.905
9.375,1.3682
9.4,2.0712
9.425,1.4178
9.45,1.1064
9.475,1.5084
9.5,2.3524
9.525,2.3526
9.55,2.3932
9.575,2.433
9.6,2.4328
9.625,2.7546
9.65,2.7344
9.675,2.7144
9.7,2.7144
9.725,2.6742
9.75,2.6544
9.775,2.3724
9.8,1.4678
9.825,2.0114
9.85,2.7344
9.875,2.7144
9.9,2.2314
9.925,2.403
9.95,2.714
9.975,2.7144
10,2.7544
10.025,2.7144
10.05,2.6946
10.075,2.7046
10.1,2.6744
10.125,2.7648
10.15,2.7546
10.175,2.7546
10.2,2.7546
10.225,2.7144
10.25,0.6434
10.275,2.8046
10.3,2.8348
10.325,2.7246
10.35,0.9248
10.375,2.7242
10.4,2.835
10.425,2.8752
10.45,2.4132
10.475,2.3928
10.5,2.3928
10.525,2.3628
10.55,1.9304
10.575,0.624
10.6,2.0308
10.625,2.4228
10.65,1.3472
10.675,0.9554
10.7,2.3122
10.725,2.3526
10.75,2.4132
10.775,2.4232
10.8,2.473
10.825,2.1516
10.85,2.1314
10.875,2.1516
10.9,2.1518
10.925,2.1516
10.95,2.1716
10.975,2.1114
11,2.1116
11.025,2.1516
11.05,2.1318
11.075,2.433
11.1,2.473
11.125,2.4432
11.15,2.4736
11.175,2.4634
11.2,2.5532
11.225,2.4432
11.25,2.4732
11.275,2.7242
11.3,2.7944
11.325,2.7246
11.35,2.7144
11.375,2.7448
11.4,2.6744
11.425,2.7144
11.45,2.6942
11.475,2.835
11.5,2.835
11.525,2.8454
11.55,2.8554
11.575,2.8448
11.6,2.835
11.625,2.865
11.65,2.8152
11.675,2.7144
11.7,2.7146
11.725,2.7246
11.75,2.7144
11.775,2.7448
11.8,2.7144
11.825,2.7546
11.85,2.7344
11.875,2.735
11.9,2.7544
11.925,2.463
11.95,2.4132
11.975,2.4232
12,2.433
12.025,2.433
12.05,2.433
12.075,2.4428
12.1,2.0714
12.125,2.1012
12.15,2.1926
12.175,2.1114
12.2,2.1112
12.225,2.1114
12.25,2.0712
12.275,2.132
12.3,1.3476
12.325,1.3476
12.35,1.3476
12.375,1.378
12.4,1.3076
12.425,1.3374
12.45,1.3476
12.475,1.3476
12.5,1.3478
12.525,1.2372
12.55,0.8648
12.575,0.5338
12.6,0.5838
12.625,0.795
12.65,1.0662
12.675,0.9456
12.7,0.9052
12.725,0.825
12.75,0.825
12.775,0.7848
12.8,0.7846
12.825,0.7044
12.85,0.604
12.875,0.5436
12.9,0.6238
12.925,0.7446
12.95,0.8448
12.975,0.9554
13,1.187
13.025,1.3074
13.05,1.3878
13.075,2.1212
13.1,2.1114
13.125,2.0712
13.15,2.0712
13.175,2.081
13.2,2.1114
13.225,2.061
13.25,2.0712
13.275,2.0408
13.3,2.0712
13.325,2.333
13.35,2.4128
13.375,2.3928
13.4,2.393
13.425,2.403
13.45,2.3928
13.475,2.4232
13.5,2.433
13.525,2.3928
13.55,2.433
13.575,2.7752
13.6,2.7146
13.625,2.7144
13.65,2.6946
13.675,2.7144
13.7,2.7144
13.725,2.7144
13.75,2.7144
13.775,2.7448
13.8,2.7142
13.825,2.7948
13.85,2.835
13.875,2.8046
13.9,2.795
13.925,2.8248
13.95,2.7948
13.975,2.8448
14,2.795
14.025,2.835
14.05,2.8152
14.075,2.8252
14.1,2.795
14.125,2.7948
14.15,2.8152
14.175,2.835
14.2,2.8348
14.225,2.8248
14.25,2.835
14.275,2.8046
14.3,2.7948
14.325,2.835
14.35,2.8152
14.375,2.8046
14.4,2.875
14.425,2.835
14.45,2.8152
14.475,2.7948
14.5,2.7144
14.525,2.7144
14.55,2.6142
14.575,2.4724
14.6,2.4324
14.625,1.026
14.65,0.624
14.675,2.0516
14.7,2.5134
14.725,2.634
14.75,2.7148
14.775,2.7144
14.8,2.7144
14.825,2.604
14.85,2.634
14.875,2.6742
14.9,2.7142
14.925,2.6742
14.95,2.7144
14.975,2.634
15,2.6744
15.025,2.7144
15.05,2.6946
15.075,2.7242
15.1,2.6746
15.125,2.6844
15.15,2.4132
15.175,2.433
15.2,2.393
15.225,2.4228
15.25,2.3928
15.275,2.4428
15.3,2.433
15.325,2.5638
15.35,2.4936
15.375,2.5134
15.4,2.5532
15.425,2.5134
15.45,2.5338
15.475,2.5134
15.5,2.4732
15.525,2.493
15.55,2.4732
15.575,2.1114
15.6,2.1516
15.625,2.1918
15.65,2.172
15.675,2.1516
15.7,2.1918
15.725,2.1918
15.75,2.2118
15.775,2.1918
15.8,2.1918
15.825,2.0988
15.85,1.3074
15.875,1.3682
15.9,1.3476
15.925,1.3176
15.95,1.3074
15.975,1.3476
16,2.152
16.025,2.1918
16.05,1.3074
16.075,1.378
16.1,1.3078
16.125,1.3476
16.15,1.368
16.175,2.2222
16.2,2.192
16.225,2.232
16.25,2.2524
16.275,2.232
16.3,2.192
16.325,2.5536
16.35,2.5938
16.375,2.5536
16.4,2.5538
16.425,2.5536
16.45,2.5134
16.475,2.5232
16.5,2.835
16.525,2.8052
16.55,2.8148
16.575,2.835
16.6,2.7948
16.625,2.7846
16.65,2.7144
16.675,2.7644
16.7,2.7948
16.725,2.7546
16.75,2.7746
16.775,2.7644
16.8,2.7546
16.825,2.7648
16.85,2.7546
16.875,2.7144
16.9,2.8348
16.925,2.835
16.95,2.8752
16.975,2.8752
17,2.8352
17.025,2.8548
17.05,2.8354
17.075,2.8752
17.1,2.875
17.125,2.8248
17.15,2.835
17.175,2.7546
17.2,2.7946
17.225,2.7846
17.25,2.7546
17.275,2.7546
17.3,2.7546
17.325,2.7546
17.35,2.775
17.375,2.7242
17.4,2.7546
17.425,2.735
17.45,2.4534
17.475,2.4732
17.5,2.4732
17.525,2.4732
17.55,2.4732
17.575,2.483
17.6,2.4334
17.625,2.1414
17.65,2.1114
17.675,2.1516
17.7,2.1114
17.725,2.1516
17.75,2.1516
17.775,2.1114
17.8,1.3076
17.825,1.3776
17.85,1.3274
17.875,1.3172
17.9,1.3876
17.925,1.3776
17.95,1.3476
17.975,1.3476
18,1.3474
18.025,2.1012
18.05,2.1114
18.075,2.1516
18.1,2.1114
18.125,2.1414
18.15,2.1314
18.175,2.1114
18.2,2.1516
18.225,2.1516
18.25,2.1314
18.275,2.1418
18.3,2.1514
18.325,2.1516
18.35,2.1314
18.375,2.1212
18.4,2.1116
18.425,2.1516
18.45,2.1314
18.475,2.1516
18.5,2.1516
18.525,2.1312
18.55,2.1516
18.575,2.1516
18.6,2.1916
18.625,2.1516
18.65,2.1516
18.675,2.1516
18.7,2.1516
18.725,2.1114
18.75,2.4728
18.775,2.4732
18.8,2.5132
18.825,2.4834
18.85,2.4534
18.875,2.5134
18.9,2.5134
18.925,2.5134
18.95,2.4936
18.975,2.5134
19,2.4734
19.025,2.4432
19.05,2.5338
19.075,2.4428
19.1,2.513
19.125,2.4432
19.15,2.4132
19.175,2.3928
19.2,2.4732
19.225,2.5434
19.25,2.3526
19.275,2.3124
19.3,2.3124
19.325,2.3628
19.35,2.4936
19.375,2.5938
19.4,2.5134
19.425,2.5434
19.45,2.5536
19.475,2.8752
19.5,2.8752
19.525,2.835
19.55,2.835
19.575,2.8752
19.6,2.8752
19.625,2.8052
19.65,2.835
19.675,2.7948
19.7,2.7146
19.725,2.7948
19.75,2.7952
19.775,2.8654
19.8,2.7948
19.825,2.9556
19.85,2.9958
19.875,3.0262
19.9,2.9154
19.925,2.865
19.95,2.8752
19.975,2.9154
20,2.8352
20.025,2.9154
20.05,2.8752
20.075,2.8852
20.1,2.7548
20.125,2.8052
20.15,2.7948
20.175,2.8252
20.2,2.7946
20.225,2.835
20.25,2.8152
20.275,2.744
20.3,2.875
20.325,2.835
20.35,2.855
20.375,2.534
20.4,2.5134
20.425,2.5032
20.45,2.4932
20.475,2.5134
20.5,2.4332
20.525,2.4228
20.55,2.433
20.575,2.4428
20.6,2.4332
20.625,2.4432
20.65,2.1114
20.675,2.1212
20.7,2.1516
20.725,2.1816
20.75,2.051
20.775,2.1114
20.8,2.1516
20.825,2.1516
20.85,2.1918
20.875,2.182
20.9,2.1918
20.925,2.1918
20.95,1.2672
20.975,1.2574
21,1.267
21.025,1.2372
21.05,1.2872
21.075,1.2672
21.1,1.2272
21.125,1.227
21.15,1.2876
21.175,2.1918
21.2,2.1516
21.225,2.1816
21.25,2.1918
21.275,2.2418
21.3,2.1514
21.325,2.1516
21.35,2.1516
21.375,2.1516
21.4,2.5132
21.425,2.5134
21.45,2.4728
21.475,2.5232
21.5,2.5134
21.525,2.5134
21.55,2.5134
21.575,2.5036
21.6,2.5134
21.625,2.4536
21.65,2.8148
21.675,2.8046
21.7,2.8348
21.725,2.8248
21.75,2.8152
21.775,2.7948
21.8,2.7546
21.825,2.7648
21.85,2.775
21.875,2.8752
21.9,2.8752
21.925,2.9052
21.95,2.8554
21.975,2.8752
22,2.9152
22.025,2.865
22.05,2.8956
22.075,2.9056
22.1,2.7548
22.125,2.8146
22.15,2.7948
22.175,2.7948
22.2,2.795
22.225,2.8052
22.25,2.7948
22.275,2.835
22.3,2.835
22.325,2.5032
22.35,2.5134
22.375,2.5036
22.4,2.5134
22.425,2.5134
22.45,2.5134
22.475,2.5134
22.5,2.1516
22.525,2.1516
22.55,2.1918
22.575,2.1212
22.6,1.9912
22.625,2.1114
22.65,2.1114
22.675,2.1016
22.7,2.1112
22.725,1.2672
22.75,1.2876
22.775,1.2976
22.8,1.267
22.825,1.2672
22.85,1.3074
22.875,1.2672
22.9,1.2674
22.925,2.1516
22.95,2.1114
22.975,2.1516
23,2.1514
23.025,2.1414
23.05,2.1516
23.075,2.1516
23.1,2.1118
23.125,2.1618
23.15,2.1314
23.175,2.1516
23.2,2.1516
23.225,2.1516
23.25,2.5134
23.275,2.5134
23.3,2.5134
23.325,2.4834
23.35,2.4534
23.375,2.4732
23.4,2.4732
23.425,2.4834
23.45,2.5134
23.475,2.835
23.5,2.7948
23.525,2.7546
23.55,2.7546
23.575,2.7948
23.6,2.7548
23.625,2.7546
23.65,2.835
23.675,2.7744
23.7,2.8346
23.725,2.7948
23.75,2.835
23.775,2.8252
23.8,2.795
23.825,2.7444
23.85,2.7348
23.875,2.7144
23.9,2.7946
23.925,2.7546
23.95,2.7546
23.975,2.7546
24,2.7548
24.025,2.433
24.05,2.4128
24.075,2.4528
24.1,2.4732
24.125,2.463
24.15,2.433
24.175,2.493
24.2,2.5136
24.225,2.5332
24.25,2.1516
24.275,2.1516
24.3,2.1916
24.325,1.9608
24.35,2.252
24.375,2.2016
24.4,2.1918
24.425,2.1618
24.45,2.172
24.475,2.1918
24.5,2.1518
24.525,2.1618
24.55,2.1918
24.575,2.1614
24.6,2.1518
24.625,2.1618
24.65,2.1918
24.675,2.1614
24.7,1.2672
24.725,1.2672
24.75,1.2872
24.775,1.3074
24.8,1.2674
24.825,1.2672
24.85,1.2672
24.875,1.277
24.9,1.2674
24.925,1.2774
24.95,1.2876
24.975,1.328
25,1.2272
25.025,1.3074
25.05,1.247
25.075,2.1614
25.1,2.1918
25.125,2.2116
25.15,2.1716
25.175,2.2222
25.2,2.1518
25.225,2.1516
25.25,2.1918
25.275,2.1918
25.3,2.232
25.325,2.232
25.35,2.1918
25.375,2.5536
25.4,2.5938
25.425,2.5536
25.45,2.574
25.475,2.5938
25.5,2.5936
25.525,2.5536
25.55,2.5938
25.575,2.9154
25.6,2.8352
25.625,2.8454
25.65,2.8554
25.675,2.8752
25.7,2.8748
25.725,2.7948
25.75,2.7144
25.775,2.7644
25.8,2.7546
25.825,2.7546
25.85,2.755
25.875,2.785
25.9,2.7946
25.925,2.7648
25.95,2.8554
25.975,2.8752
26,2.8752
26.025,2.9052
26.05,2.7746
26.075,2.936
26.1,2.7542
26.125,2.7948
26.15,2.7144
26.175,2.584
26.2,2.5534
26.225,1.227
26.25,0.9054
26.275,2.4428
26.3,2.5938
26.325,2.5938
26.35,2.5938
26.375,2.6546
26.4,2.7146
26.425,2.6948
26.45,2.6138
26.475,2.5938
26.5,2.6342
26.525,2.5938
26.55,2.634
26.575,2.5938
26.6,2.5136
26.625,2.5536
26.65,2.5736
26.675,2.584
26.7,2.5936
26.725,2.5536
26.75,2.574
26.775,2.5938
